modelName,param,storyName,clipts,clipis,accss
StoryAdapter,TopK+id-1,cay_khe,"[0.30322265625, 0.255615234375, 0.27783203125, 0.250244140625, 0.3173828125, 0.27783203125, 0.293212890625, 0.32421875, 0.3076171875, 0.326416015625, 0.362548828125, 0.34375, 0.282958984375, 0.315185546875, 0.290283203125, 0.286376953125, 0.29248046875]","[0.841796875, 0.7392578125, 0.83349609375, 0.85595703125, 0.70361328125, 0.78564453125, 0.69873046875, 0.86572265625, 0.62646484375, 0.68212890625, 0.76123046875, 0.81494140625]","{'older brother': 0.696533203125, 'younger brother': 0.65771484375, 'starfruit tree': 0, 'giant bird': 0.7144775390625, 'wife': 0.5244140625, 'wife (older)': 0}"
StoryAdapter,TopK+id-1,cay_tre_tram_dot,"[0.252197265625, 0.267578125, 0.264892578125, 0.307373046875, 0.26318359375, 0.28759765625, 0.2744140625, 0.2440185546875, 0.2489013671875, 0.27880859375, 0.279541015625, 0.25390625, 0.26611328125, 0.282470703125, 0.283447265625, 0.1783447265625, 0.25537109375, 0.23291015625, 0.28955078125, 0.279296875]","[0.53759765625, 0.72802734375, 0.62451171875, 0.75390625, 0.78515625, 0.78515625, 0.59521484375, 0.599609375, 0.69580078125, 0.78662109375, 0.63916015625, 0.56591796875, 0.64404296875, 0.57470703125, 0.58935546875, 0.583984375, 0.65576171875, 0.6943359375, 0.6640625, 0.6640625, 0.63720703125]","{'landowner': 0.72509765625, 'farmer': 0.6210561899038461, 'but': 0.70361328125, 'groom': 0, 'guests': 0, 'daughter': 0}"
StoryAdapter,TopK+id-1,chim_da_da,"[0.3369140625, 0.302490234375, 0.2423095703125, 0.330810546875, 0.1806640625, 0.232666015625, 0.263427734375, 0.307861328125, 0.316162109375, 0.34814453125, 0.26025390625, 0.379150390625, 0.342041015625, 0.24169921875, 0.26220703125, 0.345703125, 0.3212890625, 0.291748046875, 0.249267578125, 0.2342529296875, 0.34130859375, 0.312744140625]","[0.78857421875, 0.765625, 0.744140625, 0.8623046875, 0.7060546875, 0.88134765625, 0.73876953125, 0.72607421875, 0.703125, 0.76513671875, 0.7353515625, 0.72265625, 0.7421875, 0.724609375, 0.798828125, 0.734375, 0.58056640625]","{'boy': 0.71806640625, 'mother': 0.77587890625, 'stepfather': 0.55693359375, 'villagers': 0, 'woodcutters': 0}"
StoryAdapter,TopK+id-1,chim_hit_co,"[0.25390625, 0.2266845703125, 0.2432861328125, 0.267822265625, 0.23876953125, 0.3369140625, 0.270263671875, 0.305419921875, 0.2457275390625, 0.2744140625, 0.28173828125, 0.30078125, 0.2880859375, 0.170166015625, 0.30517578125]","[0.91943359375, 0.91943359375, 0.76513671875, 0.76513671875, 0.75732421875, 0.7666015625, 0.603515625, 0.75537109375, 0.73828125, 0.783203125, 0.8603515625, 0.65625, 0.72216796875, 0.71337890625]","{'aunt': 0.62958984375, 'nephew': 0, 'crowd': 0, 'bird': 0}"
StoryAdapter,TopK+id-1,chim_nam_trau_sau_cot_va_chim_bat_co_troi_cot,"[0.352783203125, 0.294921875, 0.317138671875, 0.3271484375, 0.2734375, 0.3310546875, 0.32470703125, 0.320556640625, 0.293212890625, 0.239501953125, 0.25341796875, 0.323486328125, 0.303955078125, 0.290283203125]","[0.8486328125, 0.75634765625, 0.71337890625, 0.70263671875, 0.640625, 0.80908203125, 0.60107421875, 0.599609375, 0.62353515625, 0.859375, 0.71240234375, 0.7509765625, 0.689453125]","{'muscular vietnamese farmer': 0.734375, 'daughter': 0.5982530381944444, 'muscular vietnamese farmer (bird)': 0, 'daughter (bird)': 0}"
StoryAdapter,TopK+id-1,chim_quoc,"[0.30908203125, 0.27783203125, 0.217529296875, 0.23681640625, 0.2203369140625, 0.263427734375, 0.2744140625, 0.239501953125, 0.272216796875, 0.2091064453125, 0.289306640625, 0.260986328125, 0.2451171875, 0.209228515625, 0.2252197265625, 0.31884765625, 0.31640625, 0.235595703125]","[0.73388671875, 0.779296875, 0.78271484375, 0.78271484375, 0.845703125, 0.79296875, 0.7685546875, 0.74267578125, 0.74267578125, 0.84326171875, 0.84326171875, 0.7705078125, 0.7705078125, 0.8359375, 0.595703125, 0.734375, 0.6923828125, 0.6962890625, 0.7265625, 0.61328125]","{'poor scholar teacher': 0.59892578125, 'poor scholar friend': 0.63134765625, 'arrogant wife': 0.5830078125, 'poor scholar friend (bird)': 0}"
StoryAdapter,TopK+id-1,chim_tu_hu,"[0.2352294921875, 0.259521484375, 0.2646484375, 0.2548828125, 0.275146484375, 0.2646484375, 0.265869140625, 0.295166015625, 0.294677734375, 0.27294921875, 0.287109375, 0.245849609375, 0.279296875, 0.2490234375, 0.265625, 0.236328125, 0.2275390625, 0.26220703125, 0.286376953125, 0.241455078125, 0.2080078125, 0.239501953125, 0.236572265625, 0.2666015625, 0.28515625, 0.26513671875]","[0.87060546875, 0.81005859375, 0.80322265625, 0.85009765625, 0.85595703125, 0.68115234375, 0.8896484375, 0.728515625, 0.76220703125, 0.79638671875, 0.8046875, 0.81591796875, 0.73193359375, 0.81298828125, 0.85302734375, 0.84619140625, 0.8173828125, 0.77880859375, 0.74951171875, 0.8896484375, 0.7783203125, 0.8642578125, 0.8798828125, 0.86376953125, 0.88720703125, 0.818359375, 0.6962890625, 0.76513671875]","{'impatient monk': 0.739000822368421, 'calm monk': 0.72607421875, 'buddha': 0, 'birds': 0.63916015625, 'bird': 0.7291666666666666, 'lotus': 0, 'woman': 0.7080078125, 'compassionate buddhist goddess': 0, 'impatient monk (bird)': 0}"
StoryAdapter,TopK+id-1,coc_kien_troi,"[0.2474365234375, 0.26953125, 0.31201171875, 0.28076171875, 0.32177734375, 0.332275390625, 0.304931640625, 0.322265625, 0.322021484375, 0.308349609375, 0.270263671875, 0.31982421875, 0.290283203125, 0.27490234375, 0.3173828125, 0.3369140625, 0.305908203125, 0.260009765625, 0.333740234375, 0.2978515625, 0.304931640625, 0.295166015625, 0.263671875]","[0.74169921875, 0.6416015625, 0.74609375, 0.74609375, 0.857421875, 0.857421875, 0.857421875, 0.80029296875, 0.705078125, 0.80224609375, 0.65478515625, 0.73193359375, 0.69775390625, 0.771484375, 0.73876953125, 0.669921875, 0.76708984375, 0.6025390625, 0.67138671875, 0.62744140625, 0.84228515625, 0.74609375, 0.78564453125, 0.70556640625, 0.78564453125, 0.67578125, 0.8408203125, 0.6982421875, 0.74755859375, 0.81396484375, 0.857421875, 0.916015625]","{'sun': 0, 'earth': 0, 'soil': 0, 'withered tree': 0, 'birds': 0, 'toad': 0.6579241071428571, 'crab': 0.591064453125, 'bear': 0.605224609375, 'tiger': 0.762451171875, 'fox': 0.74462890625, 'bees': 0.56689453125, 'giant drum': 0.63037109375, 'water jar': 0, 'jade emperor': 0.5966796875, 'rooster': 0.7197265625, 'dog': 0, 'thunder god': 0.645263671875, 'rain': 0}"
StoryAdapter,TopK+id-1,con_rong_chau_tien,"[0.294677734375, 0.277099609375, 0.284423828125, 0.3125, 0.30419921875, 0.2841796875, 0.28564453125, 0.286376953125, 0.318115234375, 0.288818359375, 0.302978515625, 0.308349609375, 0.29931640625, 0.246337890625, 0.28857421875, 0.26318359375, 0.32421875, 0.307861328125, 0.2607421875, 0.26611328125]","[0.90380859375, 0.9140625, 0.70458984375, 0.87890625, 0.59423828125, 0.7431640625, 0.8896484375, 0.79736328125, 0.9140625, 0.88232421875, 0.89501953125, 0.6181640625, 0.5693359375, 0.72021484375, 0.904296875, 0.76171875, 0.70361328125, 0.82470703125, 0.62939453125, 0.654296875]","{'dragon lineage lord': 0.6690266927083334, 'monsters': 0, 'villagers': 0, 'mountain fairy': 0.64580078125, 'glowing sac': 0, 'baby boys': 0, 'sons': 0.435302734375, 'brothers': 0, 'legendary vietnamese king': 0.46826171875, 'officials': 0, 'bronze drums': 0, 'dragon and fairy': 0}"
StoryAdapter,TopK+id-1,da_trang,"[0.326416015625, 0.319580078125, 0.27685546875, 0.3056640625, 0.277099609375, 0.3291015625, 0.2744140625, 0.280517578125, 0.310302734375, 0.25341796875, 0.24072265625, 0.2666015625, 0.2452392578125, 0.30419921875, 0.3251953125, 0.29052734375, 0.296630859375, 0.279296875, 0.2861328125, 0.312744140625, 0.209228515625, 0.33447265625, 0.276611328125, 0.28662109375, 0.316162109375, 0.2734375, 0.296142578125, 0.23583984375, 0.286865234375, 0.305908203125, 0.283447265625]","[0.8798828125, 0.78662109375, 0.7841796875, 0.76220703125, 0.787109375, 0.7841796875, 0.78662109375, 0.806640625, 0.8515625, 0.85888671875, 0.8564453125, 0.853515625, 0.81005859375, 0.7802734375, 0.7802734375, 0.7099609375, 0.6884765625, 0.765625, 0.88818359375, 0.8662109375, 0.83154296875, 0.79931640625, 0.716796875, 0.75830078125, 0.79296875, 0.8359375, 0.82080078125, 0.8203125, 0.81591796875, 0.76708984375, 0.79638671875]","{'old man': 0.6410667782738095, 'male cobra': 0, 'female cobra': 0, 'large cobra': 0, 'snake': 0, 'glowing pearl': 0, 'green pearl': 0, 'crows': 0, 'floating corpse': 0, 'soldiers': 0, 'sparrows': 0, 'mandarin': 0, ""friend's house"": 0, 'friend': 0, 'geese': 0.7060546875, 'white gander': 0.81787109375, 'blue pearl': 0, 'river': 0, 'dragon palace': 0, 'dragon king': 0, 'empty house': 0, 'letter': 0, 'sand': 0, 'small crab': 0}"
StoryAdapter,TopK+id-1,ho_guom,"[0.2568359375, 0.2308349609375, 0.26904296875, 0.303955078125, 0.2340087890625, 0.307861328125, 0.29443359375, 0.277099609375, 0.2398681640625, 0.26123046875, 0.325439453125, 0.256591796875, 0.312744140625, 0.27685546875, 0.298095703125, 0.34716796875, 0.333251953125, 0.328857421875, 0.28515625, 0.297607421875, 0.2978515625]","[0.90869140625, 0.72314453125, 0.76904296875, 0.69140625, 0.60791015625, 0.75048828125, 0.77978515625, 0.6865234375, 0.7861328125, 0.76904296875, 0.703125, 0.7744140625, 0.8935546875, 0.73193359375, 0.89599609375, 0.787109375, 0.56689453125, 0.82958984375, 0.5224609375, 0.697265625, 0.82470703125, 0.8486328125]","{'ming invaders': 0, 'villagers': 0.46142578125, 'dragon lord': 0, 'peasants': 0, 'loyal soldier': 0.8203125, 'rusty sword blade': 0, 'lam son rebel army': 0.71923828125, 'rebel leader': 0.60888671875, 'glowing sword': 0, 'jeweled hilt': 0, 'soldiers': 0, 'legendary vietnamese king': 0.511474609375, 'golden turtle': 0.724609375, 'magic sword': 0}"
StoryAdapter,TopK+id-1,mai_an_tiem,"[0.255859375, 0.336181640625, 0.344482421875, 0.270263671875, 0.33349609375, 0.27880859375, 0.28955078125, 0.330078125, 0.2135009765625, 0.325927734375, 0.338134765625, 0.255126953125, 0.347900390625, 0.355224609375, 0.318359375, 0.358154296875, 0.35205078125, 0.322509765625, 0.328125, 0.37353515625, 0.250244140625, 0.378662109375, 0.303466796875, 0.322021484375, 0.268310546875]","[0.7431640625, 0.77392578125, 0.791015625, 0.77685546875, 0.673828125, 0.728515625, 0.76904296875, 0.84375, 0.6005859375, 0.6005859375, 0.62646484375, 0.6865234375, 0.6865234375, 0.72900390625, 0.72900390625, 0.58642578125, 0.6962890625, 0.6962890625, 0.6962890625, 0.6669921875, 0.6669921875, 0.6630859375, 0.94482421875, 0.638671875, 0.671875, 0.671875, 0.671875, 0.576171875, 0.8271484375, 0.7021484375, 0.66455078125, 0.646484375, 0.62060546875, 0.70458984375, 0.716796875, 0.662109375]","{'young man': 0.545654296875, 'wife': 0.697265625, 'son': 0.6259765625, 'officials': 0.52783203125, 'legendary vietnamese king': 0.5431082589285714, 'guards': 0.4248046875, 'elderly mandarin': 0, 'old official': 0, 'guard': 0, 'birds': 0, 'green vines': 0, 'watermelons': 0.544921875, 'fishermen': 0.6962890625, 'traders': 0, 'people': 0, 'servant': 0.68408203125, 'temple': 0}"
StoryAdapter,TopK+id-1,son_tinh_thuy_tinh,"[0.314453125, 0.2440185546875, 0.271728515625, 0.290283203125, 0.2626953125, 0.255615234375, 0.25830078125, 0.2264404296875, 0.2744140625, 0.3056640625, 0.221923828125, 0.225830078125, 0.2215576171875, 0.2310791015625, 0.263916015625, 0.2734375, 0.251708984375, 0.2337646484375]","[0.66552734375, 0.626953125, 0.62109375, 0.64404296875, 0.64404296875, 0.5390625, 0.5390625, 0.64306640625, 0.62744140625, 0.54638671875, 0.6357421875, 0.5029296875, 0.53759765625, 0.794921875, 0.3798828125, 0.8056640625, 0.58349609375, 0.77734375, 0.483154296875]","{'beautiful princess': 0.63232421875, 'legendary vietnamese king': 0.6563720703125, 'treasures': 0, 'royal nobels': 0, 'moutain lord': 0.646240234375, 'water lord': 0.7900390625, 'mythical offerings': 0, 'bamboo scroll': 0, 'monsters': 0.55517578125, 'villagers': 0, 'bronze drum spirit': 0, 'landscape': 0}"
StoryAdapter,TopK+id-1,so_dua,"[0.271240234375, 0.2381591796875, 0.25732421875, 0.246337890625, 0.24169921875, 0.3291015625, 0.236328125, 0.2529296875, 0.308837890625, 0.322509765625, 0.312255859375, 0.30224609375, 0.260009765625, 0.206298828125]","[0.75537109375, 0.74072265625, 0.697265625, 0.796875, 0.796875, 0.771484375, 0.771484375, 0.623046875, 0.67333984375, 0.67333984375, 0.77734375, 0.72998046875, 0.548828125, 0.548828125, 0.60205078125, 0.73828125, 0.7548828125, 0.7548828125, 0.72314453125, 0.72314453125]","{'elderly woman': 0, 'widow': 0, 'round baby': 0, 'strange coconut boy': 0.75, 'landlord': 0.6962890625, 'mother': 0.6806640625, 'youngest daughter': 0.697265625, 'sisters': 0.409912109375, 'young man': 0, 'rooster': 0}"
StoryAdapter,TopK+id-1,tam_cam,"[0.2685546875, 0.26611328125, 0.260009765625, 0.263916015625, 0.262939453125, 0.254150390625, 0.25927734375, 0.252197265625, 0.3388671875, 0.2244873046875, 0.25341796875, 0.2578125, 0.2998046875, 0.27685546875, 0.30322265625, 0.275390625, 0.303955078125, 0.2498779296875, 0.3076171875, 0.271728515625, 0.239990234375, 0.309814453125, 0.294677734375, 0.296142578125, 0.259033203125, 0.2103271484375, 0.289306640625, 0.289794921875, 0.263671875, 0.2998046875, 0.240234375, 0.2406005859375, 0.20947265625, 0.311767578125]","[0.86572265625, 0.86572265625, 0.86572265625, 0.86767578125, 0.86767578125, 0.8134765625, 0.86669921875, 0.779296875, 0.779296875, 0.85498046875, 0.85791015625, 0.85791015625, 0.8408203125, 0.86474609375, 0.88427734375, 0.78515625, 0.7978515625, 0.88671875, 0.88671875, 0.9150390625, 0.85107421875, 0.787109375, 0.78564453125, 0.71337890625, 0.7626953125, 0.7626953125, 0.80126953125, 0.80126953125, 0.80126953125, 0.80029296875, 0.72607421875, 0.80029296875, 0.80029296875, 0.8232421875, 0.8232421875, 0.75927734375, 0.75927734375, 0.75927734375, 0.7080078125, 0.77734375, 0.69287109375, 0.85400390625, 0.7236328125, 0.8583984375, 0.705078125, 0.6748046875, 0.6669921875, 0.76513671875, 0.80859375, 0.78271484375, 0.73046875, 0.71630859375, 0.57861328125, 0.75, 0.68115234375, 0.828125, 0.828125, 0.81298828125, 0.81298828125, 0.7421875]","{'kind village girl': 0.7136811755952381, 'jealous stepsister': 0.638671875, 'stepmother': 0.7003173828125, 'kind old sage': 0.816650390625, 'goby fish': 0.55322265625, 'rooster': 0, 'sparrows': 0, 'white horse': 0, 'elephants': 0, 'king': 0.524658203125, 'women': 0, 'oriole bird': 0.69580078125, 'trees': 0, 'loom': 0, 'magic persimmon': 0, 'old woman': 0.71875, 'soldiers': 0, 'crow': 0}"
StoryAdapter,TopK+id-1,thach_sanh,"[0.334228515625, 0.248779296875, 0.302978515625, 0.339599609375, 0.33203125, 0.3623046875, 0.314453125, 0.256103515625, 0.2763671875, 0.296142578125, 0.283203125, 0.314208984375, 0.298095703125, 0.290283203125, 0.2939453125, 0.2464599609375, 0.33447265625, 0.2666015625, 0.28466796875, 0.2919921875, 0.25830078125]","[0.81298828125, 0.8916015625, 0.87548828125, 0.82861328125, 0.86328125, 0.765625, 0.83935546875, 0.79248046875, 0.66796875, 0.71923828125, 0.69677734375, 0.75341796875, 0.859375, 0.89306640625, 0.81298828125, 0.6640625, 0.8076171875, 0.7109375, 0.798828125, 0.8837890625, 0.68603515625, 0.6650390625]","{'elderly couple': 0, 'prince': 0, 'courageous woodcutter': 0.6791178385416666, 'celestial being': 0, 'cunning man': 0.7095947265625, 'villagers': 0, 'mother': 0, 'ogre monster': 0, 'python monster': 0, 'king': 0.60302734375, 'eagle': 0, 'princess': 0.75537109375, 'sea king': 0, 'spirits': 0, 'armies': 0}"
StoryAdapter,TopK+id-1,thanh_giong,"[0.2353515625, 0.224853515625, 0.215087890625, 0.2156982421875, 0.239990234375, 0.2213134765625, 0.314453125, 0.2474365234375, 0.257080078125, 0.209228515625, 0.2269287109375, 0.30908203125, 0.2783203125, 0.291015625, 0.2255859375, 0.244873046875, 0.31982421875, 0.2308349609375]","[0.75146484375, 0.7607421875, 0.77685546875, 0.6572265625, 0.78466796875, 0.80810546875, 0.697265625, 0.7939453125, 0.7822265625, 0.7431640625, 0.76708984375, 0.8701171875, 0.80078125, 0.59765625, 0.66162109375, 0.60693359375, 0.76171875, 0.79052734375, 0.708984375, 0.6171875]","{'woman': 0.6829427083333334, 'miracle boy': 0.596142578125, 'invaders': 0, 'an king': 0, 'messenger': 0.73291015625, 'blacksmiths': 0, 'villagers': 0.64111328125, 'iron horse': 0.57763671875, 'soldiers': 0, 'landscape': 0}"
StoryAdapter,TopK+id-1,trai_sau_rieng,"[0.3154296875, 0.32861328125, 0.298583984375, 0.273193359375, 0.308349609375, 0.3037109375, 0.287353515625, 0.26708984375, 0.365478515625, 0.368408203125, 0.36572265625, 0.2900390625, 0.3203125, 0.30322265625, 0.346435546875, 0.3486328125, 0.386474609375, 0.319091796875, 0.33935546875, 0.325439453125, 0.33642578125, 0.31298828125, 0.321533203125]","[0.92822265625, 0.80517578125, 0.693359375, 0.8193359375, 0.71728515625, 0.83740234375, 0.828125]","{'scholar-warrior': 0, 'man': 0, 'villagers': 0, 'boat': 0, 'mother': 0, 'scholar': 0.61474609375, 'young woman': 0, 'couple': 0, 'durian tree': 0.7587890625, 'wife': 0, 'husband': 0, 'spirit of wife': 0, 'fruit': 0, 'old man': 0.64990234375, 'guests': 0.58984375, 'tear': 0.65380859375}"
StoryAdapter,TopK+id-1,trau_cau,"[0.267333984375, 0.28076171875, 0.25048828125, 0.244873046875, 0.2421875, 0.188232421875, 0.2318115234375, 0.2403564453125, 0.2666015625, 0.2313232421875, 0.262939453125, 0.235107421875, 0.251708984375, 0.2430419921875, 0.2449951171875, 0.3095703125, 0.2080078125, 0.273193359375]","[0.8369140625, 0.8369140625, 0.7978515625, 0.755859375, 0.7265625, 0.66650390625, 0.76904296875, 0.76904296875, 0.77392578125, 0.77392578125, 0.68603515625, 0.7177734375, 0.6435546875, 0.8115234375]","{'older brother': 0.5134765625, 'younger brother': 0.686328125, 'wife': 0.684814453125, 'younger brother (stone)': 0, 'older brother (tree)': 0, 'wife (vine)': 0, 'villagers': 0, 'ancient king': 0.597412109375, 'red juice': 0, 'betel': 0, 'areca': 0}"
StoryAdapter,TopK+id10,ba_luoi_riu,"[0.3740234375, 0.318359375, 0.333740234375, 0.301513671875, 0.34033203125, 0.35400390625, 0.339111328125, 0.32861328125, 0.34375, 0.35986328125, 0.382568359375, 0.33447265625, 0.305908203125]","[0.84619140625, 0.78125, 0.88720703125, 0.8720703125, 0.8701171875, 0.8671875, 0.86767578125, 0.82666015625, 0.84130859375, 0.81005859375, 0.77392578125, 0.869140625, 0.85888671875]","{'woodcutter': 0.62158203125, 'old man (buddha)': 0.6736188616071429}"
StoryAdapter,TopK+id10,cau_be_thong_minh,"[0.296630859375, 0.228271484375, 0.265625, 0.330078125, 0.2281494140625, 0.2861328125, 0.309326171875, 0.346923828125, 0.298583984375, 0.2301025390625, 0.23876953125, 0.289306640625, 0.31201171875, 0.31396484375]","[0.82080078125, 0.75146484375, 0.71435546875, 0.63037109375, 0.67236328125, 0.70166015625, 0.7490234375, 0.8466796875, 0.69091796875, 0.58544921875]","{'mandarin': 0, 'small boy': 0.6853515625, 'king': 0.69384765625, 'villagers': 0, 'father': 0, 'soldiers': 0, 'mandarins': 0, 'ant': 0}"
StoryAdapter,TopK+id10,cau_be_tich_chu,"[0.298828125, 0.29296875, 0.31591796875, 0.3154296875, 0.358642578125, 0.379150390625, 0.33544921875, 0.35107421875, 0.2958984375, 0.382080078125, 0.309326171875, 0.31396484375]","[0.81787109375, 0.83349609375, 0.76611328125, 0.876953125, 0.8623046875, 0.89111328125, 0.8623046875, 0.76025390625, 0.74365234375]","{'grandmother': 0.7059326171875, 'grandmother (bird)': 0.67138671875, 'boy': 0.7244466145833334, 'fairy': 0}"
StoryAdapter,TopK+id10,cay_huyet_du,"[0.30615234375, 0.2359619140625, 0.20703125, 0.275634765625, 0.22265625, 0.2491455078125, 0.242431640625, 0.2384033203125, 0.2413330078125, 0.282958984375, 0.2578125]","[0.94384765625, 0.7705078125, 0.85546875, 0.71435546875, 0.8134765625, 0.78369140625, 0.74609375]","{'butcher': 0.6697591145833334, 'monk': 0.73681640625, 'woman': 0, 'knife': 0}"
StoryAdapter,TopK+id10,cay_khe,"[0.30322265625, 0.255615234375, 0.27783203125, 0.250244140625, 0.3173828125, 0.27783203125, 0.293212890625, 0.32421875, 0.3076171875, 0.326416015625, 0.359619140625, 0.352783203125, 0.28125, 0.309814453125, 0.3359375, 0.291748046875, 0.294189453125]","[0.841796875, 0.7392578125, 0.83349609375, 0.85595703125, 0.70361328125, 0.76904296875, 0.69970703125, 0.85986328125, 0.669921875, 0.7529296875, 0.75927734375, 0.82275390625]","{'older brother': 0.7066650390625, 'younger brother': 0.6796875, 'starfruit tree': 0, 'giant bird': 0.712646484375, 'wife': 0.5546875, 'wife (older)': 0}"
StoryAdapter,TopK+id10,cay_tre_tram_dot,"[0.252197265625, 0.267578125, 0.264892578125, 0.307373046875, 0.26318359375, 0.28759765625, 0.2744140625, 0.2440185546875, 0.2489013671875, 0.27880859375, 0.280517578125, 0.251953125, 0.272705078125, 0.282470703125, 0.263427734375, 0.172119140625, 0.2467041015625, 0.2435302734375, 0.29443359375, 0.299072265625]","[0.53759765625, 0.72802734375, 0.62451171875, 0.75390625, 0.78515625, 0.78515625, 0.59521484375, 0.599609375, 0.69580078125, 0.78662109375, 0.63916015625, 0.56640625, 0.638671875, 0.57958984375, 0.58837890625, 0.60986328125, 0.6728515625, 0.654296875, 0.60400390625, 0.60400390625, 0.63330078125]","{'landowner': 0.72509765625, 'farmer': 0.6239107572115384, 'but': 0.70361328125, 'groom': 0, 'guests': 0, 'daughter': 0}"
StoryAdapter,TopK+id10,chim_da_da,"[0.3369140625, 0.302490234375, 0.2423095703125, 0.330810546875, 0.1806640625, 0.232666015625, 0.263427734375, 0.307861328125, 0.316162109375, 0.34814453125, 0.264892578125, 0.31591796875, 0.323974609375, 0.291259765625, 0.294677734375, 0.35107421875, 0.32958984375, 0.324462890625, 0.303466796875, 0.257568359375, 0.33642578125, 0.26171875]","[0.78857421875, 0.765625, 0.744140625, 0.8623046875, 0.7060546875, 0.88134765625, 0.73876953125, 0.7890625, 0.76123046875, 0.7646484375, 0.7109375, 0.71826171875, 0.72412109375, 0.68701171875, 0.712890625, 0.74169921875, 0.58154296875]","{'boy': 0.73232421875, 'mother': 0.748046875, 'stepfather': 0.5498046875, 'villagers': 0, 'woodcutters': 0}"
StoryAdapter,TopK+id10,chim_hit_co,"[0.25390625, 0.2266845703125, 0.2432861328125, 0.267822265625, 0.23876953125, 0.3369140625, 0.270263671875, 0.305419921875, 0.2457275390625, 0.2744140625, 0.28466796875, 0.29541015625, 0.280517578125, 0.19482421875, 0.314208984375]","[0.91943359375, 0.91943359375, 0.76513671875, 0.76513671875, 0.75732421875, 0.7666015625, 0.603515625, 0.75537109375, 0.73828125, 0.783203125, 0.85693359375, 0.63720703125, 0.7216796875, 0.7587890625]","{'aunt': 0.630078125, 'nephew': 0, 'crowd': 0, 'bird': 0}"
StoryAdapter,TopK+id10,chim_nam_trau_sau_cot_va_chim_bat_co_troi_cot,"[0.352783203125, 0.294921875, 0.317138671875, 0.3271484375, 0.2734375, 0.3310546875, 0.32470703125, 0.320556640625, 0.293212890625, 0.239501953125, 0.2467041015625, 0.3125, 0.31640625, 0.27978515625]","[0.8486328125, 0.75634765625, 0.71337890625, 0.70263671875, 0.640625, 0.80908203125, 0.60107421875, 0.599609375, 0.62451171875, 0.8515625, 0.71435546875, 0.78076171875, 0.666015625]","{'muscular vietnamese farmer': 0.7320556640625, 'daughter': 0.5980360243055556, 'muscular vietnamese farmer (bird)': 0, 'daughter (bird)': 0}"
StoryAdapter,TopK+id10,chim_quoc,"[0.30908203125, 0.27783203125, 0.217529296875, 0.23681640625, 0.2203369140625, 0.263427734375, 0.2744140625, 0.239501953125, 0.272216796875, 0.2091064453125, 0.292236328125, 0.25390625, 0.251953125, 0.2109375, 0.224853515625, 0.27490234375, 0.322021484375, 0.257568359375]","[0.73388671875, 0.779296875, 0.78271484375, 0.78271484375, 0.845703125, 0.79296875, 0.7685546875, 0.74267578125, 0.74267578125, 0.84326171875, 0.84326171875, 0.7705078125, 0.7705078125, 0.8369140625, 0.6162109375, 0.740234375, 0.71728515625, 0.6826171875, 0.720703125, 0.61376953125]","{'poor scholar teacher': 0.59287109375, 'poor scholar friend': 0.6243024553571429, 'arrogant wife': 0.582958984375, 'poor scholar friend (bird)': 0}"
StoryAdapter,TopK+id10,chim_tu_hu,"[0.2352294921875, 0.259521484375, 0.2646484375, 0.2548828125, 0.275146484375, 0.2646484375, 0.265869140625, 0.295166015625, 0.294677734375, 0.27294921875, 0.28515625, 0.2459716796875, 0.2578125, 0.246826171875, 0.2301025390625, 0.232421875, 0.2398681640625, 0.250732421875, 0.270751953125, 0.261962890625, 0.201416015625, 0.2393798828125, 0.2149658203125, 0.273193359375, 0.2734375, 0.243896484375]","[0.87060546875, 0.81005859375, 0.80322265625, 0.85009765625, 0.85595703125, 0.68115234375, 0.8896484375, 0.728515625, 0.76220703125, 0.79736328125, 0.7998046875, 0.84033203125, 0.7490234375, 0.7958984375, 0.890625, 0.84716796875, 0.83056640625, 0.826171875, 0.82666015625, 0.8818359375, 0.8046875, 0.91748046875, 0.88525390625, 0.87353515625, 0.92236328125, 0.89892578125, 0.6904296875, 0.7392578125]","{'impatient monk': 0.7443462171052632, 'calm monk': 0.72607421875, 'buddha': 0, 'birds': 0.65234375, 'bird': 0.71875, 'lotus': 0, 'woman': 0.7096354166666666, 'compassionate buddhist goddess': 0, 'impatient monk (bird)': 0}"
